Mass,t,Teff,R,MI,MY,MZ,MJ,MH,MK,ML',MM',MCH4
1,1.00E+06,672.5,1.46,21.7,16.75,18.03,16.16,17.07,16.15,14.63,12.19,16.23
1,2.15E+06,641.6,1.43,22.03,17,18.31,16.44,17.5,16.52,14.89,12.33,16.59
1,4.64E+06,592.9,1.38,22.58,17.43,18.76,16.91,18.22,17.12,15.32,12.58,17.21
1,1.00E+07,528.6,1.32,23.51,18.13,19.48,17.72,19.43,18.07,15.94,12.98,18.3
1,2.15E+07,455.8,1.26,24.76,19.21,20.56,18.95,21.05,19.4,16.81,13.55,19.78
2,1.00E+06,652.2,1.36,22,16.97,18.27,16.36,17.4,16.47,14.84,12.39,16.46
2,2.15E+06,641.1,1.35,22.11,17.06,18.36,16.45,17.55,16.6,14.92,12.43,16.58
2,4.64E+06,625.7,1.34,22.26,17.18,18.49,16.59,17.76,16.77,15.04,12.5,16.76
2,1.00E+07,599.6,1.32,22.52,17.39,18.71,16.82,18.11,17.06,15.25,12.62,17.05
2,2.15E+07,550.3,1.29,23.16,17.9,19.23,17.4,18.98,17.76,15.71,12.92,17.84
2,4.64E+07,483.5,1.25,24.09,18.69,20.02,18.3,20.26,18.81,16.41,13.36,18.99
2,1.00E+08,409,1.21,25.38,19.89,21.19,19.65,22.06,20.37,17.4,13.99,20.63
4,1.00E+06,585.3,1.26,22.71,17.57,18.87,16.97,18.32,17.29,15.36,12.78,17.19
4,2.15E+06,584.2,1.26,22.73,17.58,18.88,16.98,18.34,17.3,15.37,12.78,17.2
4,4.64E+06,580.6,1.26,22.77,17.62,18.92,17.02,18.4,17.35,15.41,12.81,17.26
4,1.00E+07,573.1,1.26,22.86,17.69,19,17.11,18.52,17.46,15.48,12.85,17.37
4,2.15E+07,558.8,1.25,23.03,17.84,19.14,17.27,18.76,17.66,15.61,12.94,17.58
4,4.64E+07,536.7,1.24,23.29,18.06,19.37,17.52,19.13,17.97,15.82,13.07,17.91
4,1.00E+08,492.8,1.22,23.83,18.54,19.84,18.05,19.9,18.63,16.26,13.35,18.6
4,2.15E+08,428.1,1.19,24.84,19.52,20.8,19.14,21.43,20.02,17.12,13.89,19.98
6,1.00E+06,563.5,1.21,22.98,17.83,19.12,17.22,18.64,17.63,15.58,12.97,17.44
6,2.15E+06,562.9,1.21,22.99,17.84,19.13,17.22,18.65,17.64,15.58,12.98,17.45
6,4.64E+06,561.2,1.21,23.01,17.85,19.15,17.24,18.68,17.66,15.6,12.99,17.47
6,1.00E+07,557.7,1.21,23.05,17.89,19.18,17.28,18.73,17.71,15.63,13.01,17.52
6,2.15E+07,550.9,1.21,23.12,17.96,19.25,17.36,18.84,17.81,15.69,13.05,17.62
6,4.64E+07,539.2,1.2,23.25,18.07,19.36,17.48,19.03,17.97,15.8,13.12,17.78
6,1.00E+08,517.2,1.19,23.5,18.29,19.58,17.73,19.38,18.28,16.01,13.25,18.09
6,2.15E+08,477.9,1.18,24.02,18.79,20.07,18.27,20.17,19.01,16.47,13.54,18.8
6,4.64E+08,423.3,1.15,24.83,19.59,20.85,19.16,21.45,20.21,17.21,14,19.95
8,1.00E+06,556.3,1.17,23.09,17.95,19.23,17.32,18.74,17.78,15.67,13.08,17.5
8,2.15E+06,556,1.17,23.09,17.95,19.24,17.32,18.74,17.78,15.67,13.08,17.5
8,4.64E+06,555.2,1.17,23.1,17.96,19.24,17.33,18.75,17.8,15.68,13.09,17.51
8,1.00E+07,553.2,1.17,23.12,17.98,19.26,17.35,18.79,17.82,15.7,13.1,17.54
8,2.15E+07,549.4,1.17,23.16,18.02,19.3,17.39,18.85,17.88,15.73,13.12,17.59
8,4.64E+07,541.2,1.17,23.25,18.1,19.38,17.48,18.97,17.99,15.81,13.17,17.71
8,1.00E+08,524.4,1.16,23.43,18.26,19.55,17.66,19.24,18.23,15.97,13.27,17.94
8,2.15E+08,496.5,1.15,23.74,18.55,19.83,17.98,19.7,18.65,16.24,13.45,18.35
8,4.64E+08,462.1,1.13,24.23,19.05,20.31,18.52,20.5,19.42,16.71,13.74,19.07
10,1.00E+06,561,1.14,23.07,17.96,19.23,17.29,18.66,17.76,15.65,13.12,17.42
10,2.15E+06,560.8,1.14,23.07,17.96,19.23,17.3,18.67,17.77,15.66,13.12,17.42
10,4.64E+06,560.4,1.14,23.08,17.96,19.24,17.3,18.67,17.77,15.66,13.12,17.42
10,1.00E+07,559,1.14,23.09,17.98,19.25,17.31,18.69,17.79,15.67,13.13,17.44
10,2.15E+07,556.1,1.14,23.12,18.01,19.28,17.34,18.74,17.83,15.7,13.15,17.48
10,4.64E+07,550,1.14,23.18,18.06,19.34,17.41,18.83,17.92,15.76,13.18,17.56
10,1.00E+08,537.8,1.13,23.31,18.18,19.46,17.54,19.02,18.09,15.87,13.26,17.73
10,2.15E+08,518.2,1.12,23.51,18.37,19.65,17.75,19.32,18.37,16.05,13.38,17.99
10,4.64E+08,489.7,1.11,23.84,18.69,19.96,18.1,19.83,18.86,16.36,13.57,18.45
10,1.00E+09,442.1,1.09,24.49,19.36,20.61,18.83,20.93,19.94,17.01,13.98,19.43
